asset,category,avg_hold_years,liquidity,acquisition_method,min_investment_usd,cagr_full,cagr_10yr,cagr_5yr,volatility,sharpe_ratio,max_single_year_loss,win_rate_pct,final_value_10k_invested,years_of_data
MTG Cards (TCGPlayer/MTGGoldfish),Collectible,1,High,LGS/TCGPlayer,1,13.73,15.72,11.2,14.99,0.749,-28.4,92.0,249300.0,25
Sports Cards (PWCC Index),Collectible,1,Medium,Auction/marketplace,50,13.65,18.43,18.55,21.44,0.52,-24.8,92.0,244808.0,25
Sneakers (StockX Index),Collectible,1,High,StockX/GOAT,100,13.46,13.46,6.81,13.02,0.842,-12.4,88.9,31165.0,9
Fine Wine (Liv-ex 100),Collectible,10,Low,Wine merchant,500,10.57,8.82,6.82,10.4,0.776,-15.4,88.0,123292.0,25
Pokemon Cards (PSA/TCGPlayer),Collectible,1,High,Retail/secondary market,10,10.35,13.43,4.26,29.7,0.264,-42.6,88.0,117204.0,25
Comic Books (Heritage),Collectible,5,Low,Auction/comic shop,20,10.34,9.99,5.51,8.27,0.947,-12.4,92.0,116982.0,25
Fine Art (Artprice Index),Collectible,30,Very Low,Auction/gallery,5000,9.09,8.83,8.45,10.95,0.602,-30.2,92.0,88045.0,25
Gold,Conventional,1,Very High,ETF or physical,100,8.84,8.25,11.58,14.0,0.453,-28.3,72.0,83211.0,25
Luxury Watches (Knight Frank),Collectible,5,Medium,Authorized dealer/grey market,2000,8.31,9.45,7.8,8.85,0.657,-18.6,92.0,73581.0,25
S&P 500,Conventional,1,Very High,Passive index fund,100,7.7,13.1,14.53,17.89,0.291,-37.0,76.0,63941.0,25
Real Estate (Case-Shiller),Conventional,30,Medium,Property purchase,50000,4.81,6.47,7.47,6.82,0.338,-12.0,76.0,32328.0,25
US Bonds (10yr Treasury),Conventional,1,Very High,Treasury bond,1000,3.39,-0.81,-4.0,9.14,0.097,-17.8,76.0,23011.0,25
